1,4,6,100,2,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,75,2,3,0,40,2,600,300,0
10,1,6,100,2,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,75,2,9,20,20,1,600,300,1
6,2,4,120,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,200,1,9,0,10,2,600,250,4
1,6,4,80,3,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,200,1,5,10,10,1,600,250,5
10,2,4,160,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,100,1,9,20,20,1,500,250,0
2,4,4,160,2,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,25,1,1,0,20,2,400,250,3
6,1,4,120,2,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,25,0,7,0,40,1,600,200,4
3,8,4,60,4,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,25,1,7,10,40,1,600,300,4
10,5,4,120,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,150,3,3,0,30,2,500,250,0
7,5,8,100,3,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,25,2,4,0,30,2,400,300,1
8,7,4,60,3,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,150,0,3,0,20,0,400,250,3
4,5,6,160,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,50,3,4,0,30,2,500,250,4
10,2,4,120,3,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,50,1,5,0,20,2,600,200,3
1,9,2,140,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,75,0,8,20,40,1,600,300,4
6,3,6,120,4,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,75,2,2,10,50,1,400,200,1
2,9,4,160,3,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,100,2,0,0,40,0,500,200,4
8,8,6,160,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,50,1,8,20,50,1,500,200,1
10,5,10,100,2,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,150,2,8,10,50,2,600,200,1
8,5,8,120,3,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,100,1,5,20,20,0,500,300,3
8,5,2,80,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,150,1,8,20,30,1,600,250,5
9,6,2,120,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,200,2,7,10,30,0,500,200,1
3,7,6,160,3,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,25,3,5,0,30,1,400,250,1
5,8,2,160,4,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,75,1,8,20,50,1,500,300,2
1,3,4,160,2,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,200,2,2,0,40,1,600,300,4
6,8,6,80,3,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,200,2,0,0,30,1,500,250,3
8,9,8,140,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,100,0,3,0,40,2,400,300,4
3,3,2,160,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,150,1,3,0,30,1,400,200,3
10,1,2,120,2,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,100,3,3,10,20,1,600,200,2
9,2,4,140,4,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,50,1,0,20,20,1,600,300,1
5,3,6,140,2,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,200,0,8,10,30,2,500,300,3
3,4,6,100,3,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,75,3,1,0,40,2,500,300,2
2,8,6,60,2,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,25,1,3,0,40,2,400,300,3
9,4,4,60,2,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,75,2,8,0,20,0,500,300,4
3,7,10,120,4,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,200,0,4,20,20,2,500,300,4
5,7,6,160,2,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,50,1,7,20,40,2,600,200,1
9,3,4,140,2,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,25,1,2,20,20,1,600,200,5
1,3,4,80,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,100,3,7,20,40,0,500,200,0
9,6,8,60,3,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,150,2,2,10,20,2,500,250,0
3,6,8,120,3,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,25,2,2,20,50,0,400,250,0
5,6,6,140,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,75,3,4,10,30,2,600,250,4
8,2,4,140,2,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,25,2,2,10,20,2,600,200,2
9,3,4,60,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,100,0,5,0,30,2,400,200,5
10,5,10,40,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,100,3,0,20,20,2,500,250,1
4,6,4,60,4,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,100,0,0,0,30,2,500,300,2
3,4,8,120,2,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,75,1,3,20,40,0,500,300,0
3,1,4,100,2,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,100,1,6,0,20,2,500,300,1
8,9,8,160,2,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,100,2,1,20,20,0,600,250,1
3,9,10,40,3,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,50,3,4,0,10,2,600,300,1
9,4,8,120,4,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,100,2,4,20,50,0,400,300,4
10,2,2,60,4,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,200,0,8,0,20,2,500,300,2
